name,eircode,latitude,longitude,postal_town
Palmerston Upper,D22,53.35474,-6.3901,Dublin
Palmerstown,A45,53.51061,-6.35778,Oldtown
Parnelstown,A41,53.54743,-6.25007,Ballyboughal
Poppintree,D11,53.40017,-6.28526,Dublin
Porterstown,D15,53.37733,-6.40625,Dublin
Portmarnock,K36,53.42327,-6.15202,Malahide
Racecourse Common,K45,53.51961,-6.1635,Lusk
Raheen,D22,53.33691,-6.39233,Dublin
Raheny,K45,53.52896,-6.15053,Lusk
Rahillion,K36,53.49607,-6.13363,Malahide
Rahulk,K67,53.43303,-6.20097,Swords
Rallekaystown,K45,53.54607,-6.15519,Lusk
Ranelagh,D06,53.32685,-6.25708,Dublin
Rath,K67,53.48318,-6.29694,Swords
Rathartan,K45,53.52455,-6.13281,Lusk
Rathbeal,K67,53.47014,-6.26682,Swords
Rathcoole,D24,53.27929,-6.47041,Dublin
Rathcreedan,D24,53.28857,-6.49205,Dublin
Rathfarnham,D14,53.29486,-6.2841,Dublin
Rathgar,D06,53.31889,-6.26916,Dublin
Rathmichael,D18,53.23233,-6.15937,Dublin
Rathmines,D06,53.32131,-6.26569,Dublin
Rathmines Great,D14,53.30581,-6.25524,Dublin
Rathmines Little,D14,53.29996,-6.25908,Dublin
Rathmooney,K45,53.54088,-6.18194,Lusk
Redcow,D22,53.31865,-6.37312,Dublin
Redcowfarm,D20,53.35166,-6.36971,Dublin
Redgap,D24,53.26573,-6.48344,Dublin
Regeens,K45,53.53386,-6.18636,Lusk
Ring,K32,53.58374,-6.218,Balbriggan
Ring Commons,K32,53.58098,-6.22677,Balbriggan
Ringsend,D04,53.34186,-6.22672,Dublin
Ringwood,W23,53.31803,-6.52645,Maynooth
Robinhood,D22,53.31868,-6.34773,Dublin
Robswalls,K36,53.44243,-6.13453,Malahide
Roebuck,D14,53.30347,-6.22656,Dublin
Roganstown,K67,53.48311,-6.27395,Swords
Rogerstown,K45,53.51468,-6.14496,Lusk
Ronanstown,D22,53.33777,-6.40633,Dublin
Rush,K56,53.52567,-6.09115,Rush
Rush Demesne,K56,53.53588,-6.10605,Rush
Saggart,D24,53.28084,-6.44319,Dublin
Saint Catherine's Park,K78,53.36806,-6.47133,Lucan
Saintdoolaghs,D17,53.41429,-6.18477,Dublin
Saint Edmondsbury,K78,53.36436,-6.43797,Lucan
Sainthelens,K36,53.43624,-6.14728,Malahide
Saint Margaret's,K67,53.43109,-6.29827,Swords
Sallynoggin,A96,53.28003,-6.13571,Glenageary
Salmon,K32,53.57017,-6.18336,Balbriggan
Sandyford,D18,53.26997,-6.22493,Dublin
Sandyhill,K67,53.42908,-6.298,Swords
Sandymount,D04,53.33056,-6.21575,Dublin
Santry,D09,53.40201,-6.2383,Dublin
Seapoint,K67,53.46624,-6.19327,Swords
Seatown East,K36,53.4592,-6.20123,Malahide
Seatown West,K67,53.46503,-6.20987,Swords
Sevenparks,K32,53.616,-6.26167,Balbriggan
Shallon,D11,53.44595,-6.32466,Dublin
Shanganagh,D18,53.23373,-6.12089,Dublin
Shanganhill,K67,53.42204,-6.30339,Swords
Shankill,D18,53.22619,-6.13642,Dublin
Skerries,K34,53.58055,-6.10788,Skerries
Stepaside,D18,53.25306,-6.2143,Dublin
Stephenstown,K32,53.59891,-6.20121,Balbriggan
Stillorgan,A94,53.2849,-6.20195,Blackrock
Stillorgan Grove,A94,53.29024,-6.1931,Blackrock
Stillorgan North,A94,53.29066,-6.20793,Blackrock
Stillorgan Park,A94,53.28768,-6.18422,Blackrock
Stillorgan South,A94,53.28597,-6.20271,Blackrock
Stockhole,K67,53.42211,-6.21959,Swords
Stradbrook,A94,53.29304,-6.16893,Blackrock
Streamstown,K36,53.4382,-6.18113,Malahide
Strifeland,K34,53.58111,-6.16482,Skerries
Surgalstown North,K67,53.47109,-6.30375,Swords
Surgalstown South,K67,53.4651,-6.30429,Swords
Sutton,D13,53.38952,-6.1103,Dublin
Sutton North,D13,53.37852,-6.08924,Dublin
Sutton South,D13,53.37021,-6.09392,Dublin
Swords,K67,53.45575,-6.21975,Swords
Swords Demesne,K67,53.45626,-6.21751,Swords
Swords Glebe,K67,53.4575,-6.2252,Swords
Tallaght,D24,53.28881,-6.35571,Dublin
